"STATION","NAME","DATE","TAVG"
"USW00014739","BOSTON, MA US","2016-05-04","46"
"USW00014739","BOSTON, MA US","2016-05-05","45"
"USW00014739","BOSTON, MA US","2016-05-06","48"
"USW00014739","BOSTON, MA US","2016-05-07","47"
"USW00014739","BOSTON, MA US","2016-05-08","52"
"USW00014739","BOSTON, MA US","2016-05-09","55"
"USW00014739","BOSTON, MA US","2016-05-10","57"
"USW00014739","BOSTON, MA US","2016-05-11","61"
"USW00014739","BOSTON, MA US","2016-05-12","61"
"USW00014739","BOSTON, MA US","2016-05-13","61"
"USW00014739","BOSTON, MA US","2016-05-14","66"
"USW00014739","BOSTON, MA US","2016-05-15","58"
"USW00014739","BOSTON, MA US","2016-05-16","49"
"USW00014739","BOSTON, MA US","2016-05-17","59"
"USW00014739","BOSTON, MA US","2016-05-18","57"
"USW00014739","BOSTON, MA US","2016-05-19","54"
"USW00014739","BOSTON, MA US","2016-05-20","60"
"USW00014739","BOSTON, MA US","2016-05-21","64"
"USW00014739","BOSTON, MA US","2016-05-22","57"
"USW00014739","BOSTON, MA US","2016-05-23","60"
"USW00014739","BOSTON, MA US","2016-05-24","56"
"USW00014739","BOSTON, MA US","2016-05-25","63"
"USW00014739","BOSTON, MA US","2016-05-26","72"
"USW00014739","BOSTON, MA US","2016-05-27","62"
"USW00014739","BOSTON, MA US","2016-05-28","76"
"USW00014739","BOSTON, MA US","2016-05-29","65"
"USW00014739","BOSTON, MA US","2016-05-30","58"
"USW00014739","BOSTON, MA US","2016-05-31","76"
"USW00014739","BOSTON, MA US","2016-06-01","69"
"USW00014739","BOSTON, MA US","2016-06-02","58"
"USW00014739","BOSTON, MA US","2016-06-03","60"
"USW00014739","BOSTON, MA US","2016-06-04","65"
"USW00014739","BOSTON, MA US","2016-06-05","64"
"USW00014739","BOSTON, MA US","2016-06-06","72"
"USW00014739","BOSTON, MA US","2016-06-07","74"
"USW00014739","BOSTON, MA US","2016-06-08","67"
"USW00014739","BOSTON, MA US","2016-06-09","61"
"USW00014739","BOSTON, MA US","2016-06-10","62"
"USW00014739","BOSTON, MA US","2016-06-11","61"
"USW00014739","BOSTON, MA US","2016-06-12","68"
"USW00014739","BOSTON, MA US","2016-06-13","62"
"USW00014739","BOSTON, MA US","2016-06-14","67"
"USW00014739","BOSTON, MA US","2016-06-15","74"
"USW00014739","BOSTON, MA US","2016-06-16","71"
"USW00014739","BOSTON, MA US","2016-06-17","66"
"USW00014739","BOSTON, MA US","2016-06-18","66"
"USW00014739","BOSTON, MA US","2016-06-19","68"
"USW00014739","BOSTON, MA US","2016-06-20","71"
"USW00014739","BOSTON, MA US","2016-06-21","73"
"USW00014739","BOSTON, MA US","2016-06-22","72"
"USW00014739","BOSTON, MA US","2016-06-23","69"
"USW00014739","BOSTON, MA US","2016-06-24","67"
