BARNES AV,Residential,54
BARNES AV,Vacant,3
BARRETT AV,Residential,2
BARRETT AV,Vacant,4
BARRINGTON RD,Residential,8
BARROWS ST,Residential,6
BARRY PK,Residential,3
BARRY ST,Commercial,1
BARRY ST,Residential,41
BARRY ST,Vacant,5
BARSTOW ST,Residential,5
BARTLETT AV,Residential,3
BARTLETT AV,Vacant,2
BARTLETT PL,Residential,3
BARTLETT SQ,Commercial,3
BARTLETT ST,Public & Quasi-Public,2
BARTLETT ST,Residential,53
BARTLETT ST,Residential (Mixed-Use),7
BARTLETT ST,Vacant,14
BARTON ST,Public & Quasi-Public,2
BASILE ST,Commercial,1
BASILE ST,Public & Quasi-Public,1
BASILE ST,Residential,8
BASTO TE,Residential,12
BATCHELDER ST,Industrial,1
BATCHELDER ST,Public & Quasi-Public,2
BATCHELDER ST,Residential,14
BATCHELDER ST,Vacant,5
BATEMAN ST,Residential,52
BATEMAN ST,Vacant,1
BATESWELL RD,Residential,12
BATTERY ST,Residential,6
BATTERYMARCH ST,Commercial,6
BATTERYMARCH ST,Residential,1
BAXTER ST,Residential,22
BAXTER ST,Vacant,30
BAY ST,Commercial,2
BAY ST,Industrial,1
BAY ST,Residential,7
BAY STATE PL,Residential,4
BAY STATE RD,Commercial,2
BAY STATE RD,Public & Quasi-Public,86
BAY STATE RD,Residential,60
BAY STATE RD,Vacant,3
BAY VIEW PL,Residential,4
BAYARD ST,Residential,19
BAYARD ST,Vacant,1
BAYSIDE ST,Residential,7
BAYSWATER ST,Commercial,1
BAYSWATER ST,Residential,45
BAYSWATER ST,Vacant,1
BEACH ST,Commercial,11
BEACH ST,Public & Quasi-Public,1
BEACH ST,Residential,12
BEACH ST,Vacant,1
BEACHVIEW RD,Public & Quasi-Public,1
BEACHVIEW RD,Residential,33
BEACHVIEW RD,Vacant,3
BEACON ST,Commercial,36
BEACON ST,Industrial,1
BEACON ST,Public & Quasi-Public,51
BEACON ST,Residential,239
BEACON ST,Residential (Mixed-Use),1
BEACON ST,Vacant,7
BEAL PL,Vacant,2
BEALE ST,Public & Quasi-Public,1
BEALE ST,Residential,5
BEALE ST,Vacant,1
BEARSE AV,Public & Quasi-Public,2
BEARSE AV,Residential,22
BEARSE AV,Vacant,6
BEAUFIELD ST,Residential,9
BEAUFIELD ST,Vacant,3
BEAUFORT RD,Residential,1
BEAUMONT ST,Residential,31
BEAUMONT ST,Vacant,2
BEAVER PL,Residential,5
BEAVER ST,Public & Quasi-Public,1
BEAVER ST,Residential,38
BEAVER ST,Vacant,1
BECKET ST,Residential,14
BECKET ST,Vacant,2
BECKLER AV,Residential,13
BEDFORD ST,Commercial,4
BEDFORD ST,Vacant,2
BEECH GLEN ST,Public & Quasi-Public,2
BEECH GLEN ST,Residential,19
BEECH GLEN ST,Vacant,1
BEECH ST,Commercial,3
BEECH ST,Public & Quasi-Public,16
BEECH ST,Residential,196
BEECH ST,Vacant,6
BEECHCROFT ST,Public & Quasi-Public,2
BEECHCROFT ST,Residential,32
BEECHER ST,Residential,7
BEECHLAND CI,Public & Quasi-Public,5
BEECHMONT FW,Public & Quasi-Public,9
BEECHMONT FW,Vacant,2
BEECHMONT ST,Public & Quasi-Public,5
BEECHMONT ST,Residential,31
BEECHMONT ST,Vacant,2
BEECHMONT TE,Public & Quasi-Public,2
BEECHMONT TE,Residential,17
BEECHWOOD ST,Residential,5
BEECHWOOD ST,Residential (Mixed-Use),1
BEECHWOOD ST,Vacant,2
BEETHOVEN ST,Residential,16
BEETHOVEN ST,Vacant,1
BELDEN SQ,Commercial,2
BELDEN ST,Public & Quasi-Public,3
BELDEN ST,Residential,21
BELDEN ST,Vacant,6
BELFORT ST,Residential,16
BELGRADE AV,Commercial,32
BELGRADE AV,Industrial,1
BELGRADE AV,Residential,87
BELGRADE AV,Residential (Mixed-Use),3
BELGRADE AV,Vacant,5
BELGRAVIA PL,Residential,1
BELL CT,Residential,2
BELL CT,Vacant,6
BELLAIRE RD,Residential,17
BELLAMY ST,Residential,21
BELLE AV,Residential,35
BELLE AV,Vacant,7
BELLE ISLE INLET ,Commercial,1
BELLE ISLE INLET ,Vacant,1
BELLEVUE HILL RD,Residential,17
BELLEVUE HILL RD,Vacant,2
BELLEVUE ST,Commercial,1
BELLEVUE ST,Public & Quasi-Public,5
BELLEVUE ST,Residential,119
