st_loc,ptype,0
ANAWAN AV,343.0,1
ANAWAN TE,101.0,6
ANCHOR WY,316.0,1
ANDERSON PL,112.0,1
ANDERSON ST,13.0,2
ANDERSON ST,101.0,1
ANDERSON ST,111.0,1
ANDERSON ST,112.0,14
ANDOVER RD,101.0,2
ANDRIA RD,101.0,4
ANDRIA RD,104.0,1
ANDRIA RD,105.0,2
ANDRIA RD,106.0,1
ANGELL ST,101.0,3
ANGELL ST,104.0,7
ANGELL ST,105.0,8
ANGELL ST,130.0,1
ANGELL ST,132.0,1
ANGELL ST,390.0,1
ANGELL ST,902.0,4
ANITA TE,101.0,1
ANITA TE,104.0,1
ANITA TE,105.0,1
ANITA TE,902.0,2
ANNABEL ST,13.0,1
ANNABEL ST,101.0,3
ANNABEL ST,104.0,1
ANNABEL ST,105.0,2
ANNABEL ST,111.0,1
ANNABEL ST,974.0,1
ANNAFRAN ST,101.0,28
ANNAFRAN ST,104.0,3
ANNAFRAN ST,105.0,1
ANNAFRAN ST,106.0,2
ANNAFRAN ST,132.0,7
ANNAPOLIS ST,105.0,6
ANNAPOLIS ST,131.0,1
ANNAPOLIS ST,132.0,1
ANNAVOY ST,101.0,8
ANNAVOY ST,104.0,2
ANNAVOY ST,106.0,1
ANNUNCIATION RD,908.0,6
ANNUNCIATION RD,977.0,1
ANSEL RD,310.0,1
ANSEL RD,985.0,1
ANSELM TE,104.0,6
ANSON ST,104.0,3
ANSON ST,105.0,4
ANSONIA RD,101.0,18
ANSONIA RD,132.0,1
ANTHONY J GRIECO TE,104.0,1
ANTHONY J GRIECO TE,105.0,2
ANTHONY J GRIECO TE,132.0,1
ANTHONY R VALENTI WY,344.0,1
ANTHONY R VALENTI WY,387.0,3
ANTHONY R VALENTI WY,985.0,1
ANTRIM ST,104.0,1
ANTRIM ST,105.0,7
ANTWERP ST,101.0,5
ANTWERP ST,104.0,14
ANTWERP ST,105.0,6
ANTWERP ST,106.0,1
ANTWERP ST,390.0,1
ANTWERP ST,404.0,1
ANTWERP ST,414.0,1
APPIAN PL,101.0,2
APPIAN PL,104.0,2
APPIAN PL,132.0,1
APPIAN WY,101.0,4
APPIAN WY,104.0,4
APPIAN WY,132.0,1
APPLETON ST,13.0,2
APPLETON ST,101.0,22
APPLETON ST,104.0,14
APPLETON ST,105.0,11
APPLETON ST,111.0,15
APPLETON ST,125.0,1
APPLETON ST,976.0,3
APPLETON ST,985.0,1
ARAMON ST,130.0,1
ARAMON ST,132.0,1
ARBELLA RD,101.0,7
ARBORCREST TE,101.0,5
ARBORCREST TE,104.0,7
ARBORETUM RD,390.0,4
ARBORETUM RD,405.0,1
ARBORFIELD RD,101.0,24
ARBOROUGH RD,101.0,16
ARBOROUGH RD,104.0,8
ARBOROUGH RD,105.0,1
ARBOROUGH RD,132.0,2
ARBORVIEW RD,101.0,17
ARBORVIEW RD,132.0,1
ARBORWAY ,130.0,1
ARBORWAY ,986.0,1
ARBORWAY ST,101.0,49
ARBORWAY ST,104.0,5
ARBORWAY ST,105.0,6
ARBORWAY ST,111.0,2
ARBORWAY ST,130.0,1
ARBORWAY ST,132.0,4
ARBORWAY ST,973.0,2
ARBORWAY ST,977.0,1
ARBORWAY ST,985.0,5
ARBORWAY TE,101.0,5
ARBORWAY TE,132.0,1
ARBORWAY TE,337.0,1
ARBROTH ST,101.0,1
ARBROTH ST,104.0,14
ARBUTUS ST,101.0,14
ARBUTUS ST,105.0,3
ARBUTUS ST,111.0,1
ARCADIA PK,104.0,1
ARCADIA PK,105.0,6
ARCADIA PK,111.0,1
ARCADIA PK,127.0,2
ARCADIA PK,132.0,1
ARCADIA ST,31.0,1
ARCADIA ST,101.0,5
ARCADIA ST,104.0,13
ARCADIA ST,105.0,6
ARCADIA ST,111.0,1
ARCADIA ST,125.0,1
ARCH ST,31.0,1
ARCH ST,348.0,1
ARCH ST,390.0,1
ARCH ST,985.0,1
ARCHDALE RD,101.0,3
ARCHDALE RD,104.0,14
ARCHDALE RD,105.0,1
ARCHDALE RD,130.0,1
ARCHDALE RD,132.0,1
ARCOLA ST,105.0,6
ARCOLA ST,106.0,1
ARCOLA ST,125.0,1
ARCOLA ST,902.0,14
ARDALE ST,101.0,26
ARDALE ST,104.0,16
ARDALE ST,105.0,6
ARDALE ST,132.0,1
ARDEE ST,130.0,4
ARDEE ST,132.0,1
ARDEN ST,101.0,5
ARDEN ST,104.0,6
ARDEN ST,105.0,4
ARDENT ST,101.0,2
ARDENT ST,104.0,3
ARDENT ST,105.0,1
ARDMORE RD,101.0,8
ARGUS PL,104.0,1
ARGYLE ST,104.0,1
ARGYLE ST,105.0,5
