st_loc,building_typology,0
ANTHONY J GRIECO TE,Multi-Family (3 units),2
ANTHONY J GRIECO TE,Vacant,1
ANTHONY R VALENTI WY,Garage,3
ANTHONY R VALENTI WY,Office,1
ANTRIM ST,Multi-Family (2 units),1
ANTRIM ST,Multi-Family (3 units),7
ANTWERP ST,Medical/Lab/Production,2
ANTWERP ST,Multi-Family (2 units),14
ANTWERP ST,Multi-Family (3 units),6
ANTWERP ST,Single-Family,5
ANTWERP ST,Vacant,1
APPIAN PL,Multi-Family (2 units),2
APPIAN PL,Single-Family,2
APPIAN PL,Vacant,1
APPIAN WY,Multi-Family (2 units),4
APPIAN WY,Single-Family,4
APPIAN WY,Vacant,1
APPLETON ST,Multi-Family (2 units),14
APPLETON ST,Multi-Family (3 units),11
APPLETON ST,Multi-Family (4-6 units),15
APPLETON ST,Residential (Mixed-Use),2
APPLETON ST,School,3
APPLETON ST,Single-Family,22
ARAMON ST,Vacant,2
ARBELLA RD,Single-Family,7
ARBORCREST TE,Multi-Family (2 units),7
ARBORCREST TE,Single-Family,5
ARBORETUM RD,Office,1
ARBORETUM RD,Vacant,4
ARBORFIELD RD,Single-Family,24
ARBOROUGH RD,Multi-Family (2 units),8
ARBOROUGH RD,Multi-Family (3 units),1
ARBOROUGH RD,Single-Family,16
ARBOROUGH RD,Vacant,2
ARBORVIEW RD,Single-Family,17
ARBORVIEW RD,Vacant,1
ARBORWAY ,Vacant,2
ARBORWAY ST,Convention/Assembly,1
ARBORWAY ST,Multi-Family (2 units),5
ARBORWAY ST,Multi-Family (3 units),6
ARBORWAY ST,Multi-Family (4-6 units),2
ARBORWAY ST,Office,2
ARBORWAY ST,Single-Family,49
ARBORWAY ST,Vacant,5
ARBORWAY TE,Garage,1
ARBORWAY TE,Single-Family,5
ARBORWAY TE,Vacant,1
ARBROTH ST,Multi-Family (2 units),14
ARBROTH ST,Single-Family,1
ARBUTUS ST,Multi-Family (3 units),3
ARBUTUS ST,Multi-Family (4-6 units),1
ARBUTUS ST,Single-Family,14
ARCADIA PK,Multi-Family (2 units),1
ARCADIA PK,Multi-Family (3 units),6
ARCADIA PK,Multi-Family (4-6 units),1
ARCADIA PK,Vacant,1
ARCADIA ST,Multi-Family (2 units),13
ARCADIA ST,Multi-Family (3 units),6
ARCADIA ST,Multi-Family (4-6 units),1
ARCADIA ST,Single-Family,5
ARCH ST,Multi-Family (7-30 units),1
ARCH ST,Office,1
ARCH ST,Vacant,1
ARCHDALE RD,Multi-Family (2 units),14
ARCHDALE RD,Multi-Family (3 units),1
ARCHDALE RD,Single-Family,3
ARCHDALE RD,Vacant,2
ARCOLA ST,Multi-Family (3 units),6
ARCOLA ST,Office,14
ARDALE ST,Multi-Family (2 units),16
ARDALE ST,Multi-Family (3 units),6
ARDALE ST,Single-Family,26
ARDALE ST,Vacant,1
ARDEE ST,Vacant,5
ARDEN ST,Multi-Family (2 units),6
ARDEN ST,Multi-Family (3 units),4
ARDEN ST,Single-Family,5
ARDENT ST,Multi-Family (2 units),3
ARDENT ST,Multi-Family (3 units),1
ARDENT ST,Single-Family,2
ARDMORE RD,Single-Family,8
ARGUS PL,Multi-Family (2 units),1
ARGYLE ST,Multi-Family (2 units),1
ARGYLE ST,Multi-Family (3 units),5
ARGYLE ST,Multi-Family (4-6 units),1
ARGYLE TE,Multi-Family (7-30 units),2
ARGYLE TE,Vacant,1
ARION ST,Garage,1
ARION ST,Multi-Family (3 units),4
ARION ST,Multi-Family (4-6 units),1
ARION ST,Single-Family,3
ARION ST,Vacant,3
ARLINGTON AV,Garage,5
