OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET
Criminal Mischief-Property,2018-04-29,2777 S COLORADO BLVD
Criminal Mischief-Property,2016-09-25,1568 S FEDERAL BLVD
Burglary,2015-08-17,1995 N QUINCE ST
Burglary,2015-10-31,884 S IVY ST
Burglary,2015-12-14,3930 BLAKE ST
Larceny,2018-04-12,745 E 6TH AVE
Criminal Mischief-Property,2016-10-05,1454 N SYRACUSE ST
Theft from Motor Vehicle,2019-02-25,1126 S SHERIDAN BLVD
Burglary,2016-10-02,1115 S BANNOCK ST
Burglary,2015-11-22,2001 S PLATTE RIVER DR
Drug Offenses,2016-09-21,2675 W 38TH AVE
Burglary,2016-08-19,1100 N YUMA CT
Larceny,2018-04-29,2042 ARAPAHOE ST
Larceny,2016-10-09,324 S LEYDEN ST
Larceny,2019-02-25,120 S KALAMATH ST
Drug Offenses,2019-03-26,1930 E 40TH AVE
Drug Offenses,2015-05-26,1250 5TH ST
Simple Assault,2015-05-26,1250 5TH ST
Robbery-Street-Res,2015-09-21,1550 N BROADWAY ST
Burglary,2015-03-27,1101 S BANNOCK ST
Burglary,2016-02-16,183 W ALAMEDA AVE
Burglary,2016-03-08,816 S UMATILLA WAY
Burglary,2018-08-01,1911 S BROADWAY ST
Burglary,2016-09-06,5231 N MONROE ST
Criminal Mischief-Graffiti,2019-02-25,665 N KALAMATH ST
All Other Crimes,2019-02-28,1930 E 40TH AVE
Burglary,2018-04-24,2645 S SANTA FE DR
Larceny,2018-04-03,403 16TH ST
Burglary,2015-09-05,970 N LINCOLN ST
Burglary,2018-04-20,4125 N ELATI ST
Drug Offenses,2015-09-30,105 E 7TH AVE
Burglary,2016-03-18,2420 S COLORADO BLVD
Burglary,2015-08-29,3814 WALNUT ST
Robbery-Street-Res,2016-08-05,2101 15TH ST
Burglary,2018-07-19,10625 E 51ST AVE
Drug Offenses,2015-05-22,3995 E 50TH AVE
Criminal Mischief-Property,2018-04-24,2645 S SANTA FE DR
Robbery-Street-Res,2019-02-28,4801 W COLFAX AVE
Criminal Mischief-Graffiti,2019-03-25,4825 N OAKLAND ST
Burglary,2015-02-09,1994 S CHEROKEE ST
All Other Crimes,2019-03-07,1941 W EVANS AVE
Burglary,2018-05-12,3450 N BRIGHTON BLVD
Burglary,2018-05-27,260 N BROADWAY ST
Simple Assault,2018-05-30,2028 E COLFAX AVE
Burglary,2016-05-19,1810 S BROADWAY ST
Burglary,2019-04-16,755 S FEDERAL BLVD
Burglary,2015-09-07,5231 N MONROE ST
Drug Offenses,2018-05-30,5550 N MALTA ST
Robbery-Street-Res,2016-06-16,1550 N BROADWAY ST
All Other Crimes,2019-03-24,1930 E 40TH AVE
Burglary,2015-05-10,3995 E 50TH AVE
Auto Theft,2018-05-31,658 N KALAMATH ST
Burglary,2018-06-09,7800 E 26TH AVE
Burglary,2016-06-02,2001 S BROADWAY ST
Burglary,2015-12-31,4125 N ELATI ST
Burglary,2016-05-17,985 S LOGAN ST
Burglary,2015-01-26,4615 E COLFAX AVE
Burglary,2015-07-18,1240 S BANNOCK ST
Burglary,2015-09-12,3642 N HIGH ST
Burglary,2019-03-07,5475 N PEORIA ST
Larceny,2018-05-14,2645 S SANTA FE DR
Larceny,2019-03-23,2949 W ALAMEDA AVE
Burglary,2016-01-17,2426 S FEDERAL BLVD
Burglary,2015-06-24,5110 N RACE ST
Larceny,2018-05-19,3480 S GALENA ST
All Other Crimes,2016-04-06,2028 E COLFAX AVE
Burglary,2015-03-26,734 N SHERIDAN BLVD
Burglary,2015-05-04,2193 W EVANS AVE
Burglary,2016-08-24,990 W 6TH AVE
Criminal Mischief-Property,2016-08-15,2777 S COLORADO BLVD
Burglary,2018-06-11,1235 S HURON ST
Robbery-Business,2015-06-05,5101 E COLFAX AVE
Burglary,2015-11-21,2675 W 38TH AVE
Burglary,2018-05-27,1403 S CHEROKEE ST
Drug Offenses,2018-04-03,1676 N TAMARAC ST
